State,Type_of_facilities,Count
ALABAMA,TOURIST HOMES,20
ALABAMA,HOTELS,7
ALABAMA,RESTAURANTS,1
ALABAMA,TAVERNS,1
ARIZONA,RESTAURANTS,4
ARIZONA,HOTELS,4
ARIZONA,TOURIST HOMES,3
ARIZONA,GARAGES,1
ARIZONA,SERVICE STATIONS,2
ARIZONA,BEAUTY PARLORS,1
ARIZONA,BARBER SHOPS,1
ARIZONA,NIGHT CLUBS,1
ARIZONA,RESTAURANT,1
ARKANSAS,HOTELS,14
ARKANSAS,TOURIST HOMES,21
ARKANSAS,RESTAURANTS,6
ARKANSAS,BARBER SHOPS,4
ARKANSAS,GARAGES,1
ARKANSAS,SANITARIUMS,1
ARKANSAS,SERVICE STATIONS,1
ARKANSAS,BEAUTY PARLORS,1
CALIFORNIA,TAVERNS,8
CALIFORNIA,BEAUTY PARLORS,8
CALIFORNIA,BARBER SHOPS,1
CALIFORNIA,HOTELS,15
CALIFORNIA,TOURIST HOMES,11
CALIFORNIA,RESTAURANT,2
CALIFORNIA,TRAILER PARKS & CAMPS,1
CALIFORNIA,RESTAURANTS,1
CALIFORNIA,SERVICE STATIONS,4
CALIFORNIA,LIQUOR STORES,1
CALIFORNIA,GARAGES,1
CALIFORNIA,DRUG STORES,1
CALIFORNIA,NIGHT CLUBS,1
COLORADO,TOURIST HOMES,15
COLORADO,HOTELS,6
COLORADO,RESTAURANT,3
COLORADO,SERVICE STATIONS,1
COLORADO,TAXICABS,1
CONNECTICUT,HOTELS,7
CONNECTICUT,TOURIST HOMES,15
CONNECTICUT,BARBER SHOPS,1
CONNECTICUT,BEAUTY SHOPS,1
CONNECTICUT,TAVERNS,2
CONNECTICUT,RESTAURANT,1
CONNECTICUT,BEAUTY PARLORS,4
CONNECTICUT,NIGHT CLUBS,1
DELAWARE,HOTELS,8
DELAWARE,TOURIST HOMES,5
DELAWARE,BARBER SHOPS,1
DELAWARE,NIGHT CLUBS,1
DISTRICT OF COLUMBIA,HOTELS,1
DISTRICT OF COLUMBIA,TOURIST HOMES,1
DISTRICT OF COLUMBIA,TAVERNS,5
DISTRICT OF COLUMBIA,RESTAURANTS,1
DISTRICT OF COLUMBIA,BEAUTY PARLORS,3
DISTRICT OF COLUMBIA,GARAGES,1
DISTRICT OF COLUMBIA,SERVICE STATIONS,2
DISTRICT OF COLUMBIA,TAXICABS,1
DISTRICT OF COLUMBIA,NIGHT CLUBS,2
FLORIDA,TOURIST HOMES,17
FLORIDA,TAVERNS,2
FLORIDA,HOTELS,10
FLORIDA,RESTAURANTS,3
GEORGIA,TOURIST HOMES,18
GEORGIA,HOTELS,5
GEORGIA,RESTAURANT,4
GEORGIA,TAVERNS,1
GEORGIA,BARBER SHOPS,1
GEORGIA,BEAUTY PARLORS,4
GEORGIA,NIGHT CLUBS,1
GEORGIA,SERVICE STATIONS,4
GEORGIA,WINE & LIQUOR STORES,1
GEORGIA,TRAILERS PARK,1
GEORGIA,DRUG STORES,1
GEORGIA,TAILORS,1
ILLINOIS,HOTELS,17
ILLINOIS,TOURIST HOMES,24
ILLINOIS,RESTAURANTS,3
ILLINOIS,BEAUTY PARLORS,2
ILLINOIS,BARBER SHOPS,2
ILLINOIS,DRUG STORES,1
ILLINOIS,SERVICE STATIONS,7
ILLINOIS,TAVERNS,1
ILLINOIS,NIGHT CLUBS,3
IDAHO,TOURIST HOMES,2
INDIANA,TAVERNS,6
INDIANA,TOURIST HOMES,19
INDIANA,RESTAURANT,2
INDIANA,HOTELS,8
INDIANA,RESTAURANTS,3
INDIANA,GARAGES,1
INDIANA,BEAUTY PARLORS,1
IOWA,TOURIST HOMES,10
IOWA,HOTELS,2
KANSAS,TOURIST HOMES,26
KANSAS,HOTELS,7
KANSAS,BEAUTY PARLORS,2
KANSAS,TAVERNS,2
KANSAS,RESTAURANTS,1
KENTUCKY,TOURIST HOMES,21
KENTUCKY,HOTELS,9
KENTUCKY,RESTAURANTS,2
KENTUCKY,GARAGES,1
KENTUCKY,BEAUTY PARLORS,1
KENTUCKY,BARBER SHOPS,1
LOUISIANA,HOTELS,9
LOUISIANA,TOURIST HOMES,26
LOUISIANA,RESTAURANTS,3
LOUISIANA,TAVERNS,4
LOUISIANA,BEAUTY PARLORS,1
LOUISIANA,BARBER SHOPS,3
LOUISIANA,SERVICE STATIONS,1
LOUISIANA,NIGHT CLUBS,1
LOUISIANA,ROAD HOUSES,1
LOUISIANA,BEAUTY PATRLORS,1
LOUISIANA,TAXICABS,1
MAINE,TOURIST HOMES,1
MAINE,HOTELS,1
MARYLAND,HOTELS,12
MARYLAND,NIGHT CLUBS,6
