State,City,Type_of_facilities,Address
ALABAMA,ANDALUSIA,TOURIST HOMES,Mrs. Ed. Andrews - 69 N. Cotton St.
ALABAMA,BIRMINGHAM,HOTELS,Dunbar Hotel - 316 N. 17th St.
ALABAMA,BIRMINGHAM,HOTELS,Fraternal Hotel - 1619 N. 4th St.
ALABAMA,BIRMINGHAM,HOTELS,Palm Leaf Hotel - 318 N. 18th St.
ALABAMA,BIRMINGHAM,HOTELS,Rush Hotel - 316 N. 18th St.
ALABAMA,BIRMINGHAM,HOTELS,New Home - 1718 1/2 - 4th Ave.
ALABAMA,DECATUR,TOURIST HOMES,Mrs. F. Hayes - 207 W. Church St. 
ALABAMA,GADSDEN,HOTELS,Smith Hotel - 902 Garden Ave.
ALABAMA,GADSDEN,TOURIST HOMES,Mrs. S. Neal - 1317 4th Aev.
ALABAMA,GADSDEN,TOURIST HOMES,Mrs. A. Sheperd - 1324 4th Ave.
ALABAMA,GADSDEN,TOURIST HOMES,Mrs. J. Simons - 233 N. 6th St.
ALABAMA,GENEVA,TOURIST HOMES,Joe Dondal
ALABAMA,GENEVA,TOURIST HOMES,Susie M. Sharp
ALABAMA,MOBILE,TOURIST HOMES,Mrs. E. Reed - 950 Lyons St.
ALABAMA,MOBILE,TOURIST HOMES,Mrs. E. Jordan - 256 N. Dearborn
ALABAMA,MOBILE,TOURIST HOMES,Mrs. G.B. Sylvester - 355 Cuba St.
ALABAMA,MOBILE,TOURIST HOMES,Mrs. F. Wildins 254 N. Dearborn St.
ALABAMA,MOBILE,TOURIST HOMES,BEAUTY PARLORS
ALABAMA,MOBILE,TOURIST HOMES,Ritz - 607 Congress St.
ALABAMA,MONTGOMERY,RESTAURANTS,Bonnie's - 390 W. Jeff Davis Ave.
ALABAMA,MONTGOMERY,TAVERNS,Douglas - 121 Monroe St.
ALABAMA,SHEFFIELD,HOTELS,McClain Hotel - 19th St.
ALABAMA,SHEFFIELD,TOURIST HOMES,Mrs. I. Hawkins - S. Atlantic Ave.
ALABAMA,TROY,TOURIST HOMES,Mrs. S.A. Benton -
ALABAMA,TROY,TOURIST HOMES,113 E. FairView St.
ALABAMA,TUSCALOOSO,TOURIST HOMES,Mrs. G.W. Baugh - 2526 12th St.
ALABAMA,TUSCALOOSO,TOURIST HOMES,Mrs. M.A. Barnes - 419 30th Ave.
ALABAMA,TUSCALOOSO,TOURIST HOMES,Mrs. G.W. Clopton - 1516 25th Ave.
ALABAMA,TUSCALOOSO,TOURIST HOMES,Mrs. G. Robinson - 11th St.
ARIZONA,NOGALES,RESTAURANTS,Bells Cafe - 325 Morley Ave.
ARIZONA,PHOENIX,HOTELS,Raymond - 607 E. Jefferson St.
ARIZONA,PHOENIX,HOTELS,St. Louis - 535 E. Jefferson St.
ARIZONA,PHOENIX,HOTELS,Rice's - 535 E. Jefferson
ARIZONA,PHOENIX,HOTELS,Gardners - 1229 E. Washington St.
ARIZONA,PHOENIX,TOURIST HOMES,Gardner's - 1229 E. Wash. St.
ARIZONA,PHOENIX,GARAGES,Tourist - 122 - S. First St.
ARIZONA,PHOENIX,RESTAURANTS,J. Mayse - 1314E. Jefferson St.
ARIZONA,PHOENIX,RESTAURANTS,Alhambia - 246 E. Wash. St.
ARIZONA,PHOENIX,RESTAURANTS,Tapps - 39 So. 2nd St.
ARIZONA,PHOENIX,SERVICE STATIONS,Shell - 1030 E. Washington St.
ARIZONA,PHOENIX,SERVICE STATIONS,Stewarts - 11th St. & Wash.
ARIZONA,PHOENIX,BEAUTY PARLORS,Copelands - 1316 E. Jefferson St.
ARIZONA,PHOENIX,BARBER SHOPS,Hagler's - 106 So. 2nd St.
ARIZONA,PHOENIX,NIGHT CLUBS,Elks - 7th Ave. & Tonto
ARIZONA,TUCSON,TOURIST HOMES,Mrs. G.W. Obie - 738 No. 10th Ave.
ARIZONA,TUCSON,TOURIST HOMES,Criterian Rooms - 138 W. Ocha St.
ARIZONA,TUCSON,RESTAURANT,Rainbow Grill - 91 W. Jackson
ARKANSAS,ARKADELPHIA,HOTELS,Hill Hotel - 16 Pine St.
ARKANSAS,ARKADELPHIA,HOTELS,Trigg's - Caddo St.
ARKANSAS,ARKADELPHIA,TOURIST HOMES,Mrs. B. Dedman - W. Caddo St.
ARKANSAS,ARKADELPHIA,TOURIST HOMES,Mrs. L. Cooper - W. Pine St.
ARKANSAS,ARKADELPHIA,TOURIST HOMES,P. Anderson - W. Caddo St.
ARKANSAS,ARKADELPHIA,RESTAURANTS,Richie Square Deal - Caddo St.
ARKANSAS,ARKADELPHIA,RESTAURANTS,Hill's - River St.
ARKANSAS,ARKADELPHIA,BARBER SHOPS,Scott's - 6th & Clay St.
ARKANSAS,ARKADELPHIA,BARBER SHOPS,Richie's Upright - 16th St.
ARKANSAS,BRINKLEY,TOURIST HOMES,Davis - 709 S. Main St.
ARKANSAS,EL DORADO,HOTELS,Brewster - E. & B. Sts.
ARKANSAS,EL DORADO,HOTELS,Greens - 303 Hill St.
ARKANSAS,EL DORADO,TOURIST HOMES,C. W. Moore - 5th & Lincoln Ave.
ARKANSAS,EL DORADO,TOURIST HOMES,Dr. Dunning - 7th & Columbia Ave.
ARKANSAS,EL DORADO,RESTAURANTS,Deluxe - 212 St.
ARKANSAS,EL DORADO,BARBER SHOPS,Leaders - 301 1/2 Hill St.
ARKANSAS,EL DORADO,GARAGES,Williams - 1305 E. 1st St.
ARKANSAS,FAYETTEVILLE,HOTELS,Mebbs - 9 N. Willow St.
ARKANSAS,FAYETTEVILLE,TOURIST HOMES,Mrs. S. Manuel - 313 Olive St.
ARKANSAS,FAYETTEVILLE,TOURIST HOMES,Mrs. N. Smith - 259 E. Center St.
ARKANSAS,FORT SMITH,HOTELS,The Stratford - 1208 - 9th St.
ARKANSAS,FORT SMITH,HOTELS,Ullery Inn - 719 N. 9th St.
ARKANSAS,FORT SMITH,TOURIST HOMES,E. O. Trent - 1301 N. 9th St.
ARKANSAS,HOT SPRINGS,HOTELS,Crittenden - 314 Cottage St.
ARKANSAS,HOT SPRINGS,HOTELS,The Reed House - 115 Cottage St.
ARKANSAS,HOT SPRINGS,HOTELS,Woodman - 511 Malvern
ARKANSAS,HOT SPRINGS,TOURIST HOMES,Barabin Villa - 717 Pleasant St.
ARKANSAS,HOT SPRINGS,TOURIST HOMES,Mrs. J. W. Rife - 347 1/2 Malvern Ave.
ARKANSAS,HOT SPRINGS,TOURIST HOMES,Mrs. N. Fletcher - 416 Pleasant St.
ARKANSAS,HOT SPRINGS,TOURIST HOMES,Mrs. H. Greyer - 234 Garden St.
ARKANSAS,HOT SPRINGS,TOURIST HOMES,Mrs. C. C. Wison - 232 Garden St.
ARKANSAS,HOT SPRINGS,TOURIST HOMES,Mrs. H. Stilson - 735 Pleasant St.
ARKANSAS,HOT SPRINGS,TOURIST HOMES,Mrs. E. E. Lawson - 706 Pleasant St.
ARKANSAS,HOT SPRINGS,SANITARIUMS,Psychean Baths - 415 1/2 Malvern
ARKANSAS,LITTLE ROCK,RESTAURANTS,"LAFAYETTE LUNCHEONETTE, 904 STATE STREET"
ARKANSAS,N. LITTLE ROCK,RESTAURANTS,De Luxe Cafe - 203 E. Wash. Ave.
ARKANSAS,PINE BLUFF,HOTELS,P. K. - 3rd & Alabama Sts
ARKANSAS,PINE BLUFF,HOTELS,Marietta - 3rd & Louisiana Sts.
ARKANSAS,PINE BLUFF,HOTELS,Smith's - East Third St.
ARKANSAS,PINE BLUFF,TOURIST HOMES,Mrs. M. J. Hollis - 1108 W. 2nd Ave.
ARKANSAS,PINE BLUFF,TOURIST HOMES,Mrs. K. L. Bell - 1111 W. 2nd Ave.
ARKANSAS,RUSSELLVILLE,TOURIST HOMES,Mrs. M. Jackson - Herman St.
ARKANSAS,RUSSELLVILLE,TOURIST HOMES,Mrs. E. Latimore - 318 S. Houston Ave.
ARKANSAS,TEXARKANA,HOTELS,Brown's - 312 W. Elm St.
ARKANSAS,TEXARKANA,TOURIST HOMES,G. C. Mackey - 102 E. 9th St.
ARKANSAS,TEXARKANA,RESTAURANTS,Grants Cafe - 830 Laurel St.
ARKANSAS,TEXARKANA,SERVICE STATIONS,Smith & Rand - 723 W. 7th St.
ARKANSAS,TEXARKANA,BEAUTY PARLORS,W. B. Parlou - 1020 Laurel St.
